action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,54.208336798038076,1,1,false,0,false
[con_ready],2,63.398582714888136,1,1,true,0,true
[consuming],3,63.48502998882755,1,0,false,1,false
[producing],4,77.63774728889447,2,1,false,1,false
[con_ready],5,82.71591383663713,2,1,true,1,true
[consuming],6,84.49666104361127,2,0,false,2,false
[producing],7,119.10345663411789,3,1,false,2,false
[producing],8,120.0368044994923,4,2,false,2,false
[con_ready],9,131.59838491580433,4,2,true,2,true
[consuming],10,132.13840440540488,4,1,false,3,false
[con_ready],11,144.98442229060453,4,1,true,3,true
[consuming],12,145.22276189254055,4,0,false,4,false
[producing],13,149.89262083420783,5,1,false,4,false
[con_ready],14,159.59096146071278,5,1,true,4,true
[consuming],15,159.92548297355967,5,0,false,5,false
[producing],16,166.45496283424558,6,1,false,5,false
[con_ready],17,170.38597549576377,6,1,true,5,true
[consuming],18,170.5971141450823,6,0,false,6,false
[producing],19,271.77845426351234,7,1,false,6,false
[con_ready],20,281.0813702726461,7,1,true,6,true
[consuming],21,281.1632461824406,7,0,false,7,false
[producing],22,298.3215873275418,8,1,false,7,false
[con_ready],23,301.1664617966148,8,1,true,7,true
[consuming],24,301.25829575359506,8,0,false,8,false
[producing],25,331.64480879505965,9,1,false,8,false
[con_ready],26,333.74998393394185,9,1,true,8,true
[consuming],27,335.78872630580275,9,0,false,9,false
[producing],28,337.6109862203226,10,1,false,9,false
[con_ready],29,347.9156118161475,10,1,true,9,true
[consuming],30,348.1899390475015,10,0,false,10,false
[producing],31,369.55043484973277,11,1,false,10,false
[producing],32,375.2752503912732,12,2,false,10,false
[con_ready],33,388.51959388532765,12,2,true,10,true
[consuming],34,390.8033825832068,12,1,false,11,false
[producing],35,400.70066247448614,13,2,false,11,false
[con_ready],36,403.8660349281874,13,2,true,11,true
[consuming],37,404.12542220553314,13,1,false,12,false
[con_ready],38,410.4842708630229,13,1,true,12,true
[consuming],39,414.00087481346384,13,0,false,13,false
[producing],40,461.76729366519,14,1,false,13,false
[producing],41,472.6368300994107,15,2,false,13,false
[con_ready],42,474.64169993098204,15,2,true,13,true
[consuming],43,476.66276963886907,15,1,false,14,false
[con_ready],44,477.20728139883835,15,1,true,14,true
[consuming],45,479.02755091444317,15,0,false,15,false
[producing],46,607.6504695212066,16,1,false,15,false
[con_ready],47,632.8487815118757,16,1,true,15,true
[consuming],48,634.4312418163075,16,0,false,16,false
[producing],49,657.7994262040338,17,1,false,16,false
[con_ready],50,658.9640046886371,17,1,true,16,true
[consuming],51,659.0255065856569,17,0,false,17,false
[producing],52,680.6897216355136,18,1,false,17,false
[con_ready],53,680.8667092275218,18,1,true,17,true
[consuming],54,683.0257464612512,18,0,false,18,false
[producing],55,691.3570704958126,19,1,false,18,false
[con_ready],56,714.0882193042355,19,1,true,18,true
[consuming],57,714.3374888385874,19,0,false,19,false
[producing],58,726.811454246602,20,1,false,19,false
[con_ready],59,728.1799778694024,20,1,true,19,true
[consuming],60,728.8197907519203,20,0,false,20,false
