action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,0.5376591357608064,1,1,false,0,false
[producing],2,22.272641372533894,2,2,false,0,false
[con_ready],3,22.757400708855243,2,2,true,0,true
[consuming],4,23.084452687074148,2,1,false,1,false
[producing],5,29.860694770251694,3,2,false,1,false
[con_ready],6,30.707195240280264,3,2,true,1,true
[consuming],7,31.04809901696189,3,1,false,2,false
[producing],8,33.22768072185815,4,2,false,2,false
[con_ready],9,37.78618704516926,4,2,true,2,true
[consuming],10,37.791052415983785,4,1,false,3,false
[con_ready],11,47.03676311236841,4,1,true,3,true
[consuming],12,47.24276824029474,4,0,false,4,false
[producing],13,66.93424470320244,5,1,false,4,false
[producing],14,70.06492254504928,6,2,false,4,false
[con_ready],15,70.566397842641,6,2,true,4,true
[consuming],16,71.33880840005722,6,1,false,5,false
[con_ready],17,72.42670355544787,6,1,true,5,true
[consuming],18,72.83947137179544,6,0,false,6,false
[producing],19,175.45073349887915,7,1,false,6,false
[con_ready],20,184.34258886555415,7,1,true,6,true
[consuming],21,184.8996618005123,7,0,false,7,false
[producing],22,185.62414203746758,8,1,false,7,false
[producing],23,187.42317598901775,9,2,false,7,false
[con_ready],24,188.6947644108737,9,2,true,7,true
[consuming],25,190.1559779779667,9,1,false,8,false
[con_ready],26,203.70689158008614,9,1,true,8,true
[consuming],27,205.6425324382053,9,0,false,9,false
[producing],28,211.60889942469444,10,1,false,9,false
[producing],29,220.91573915366808,11,2,false,9,false
[con_ready],30,225.92538172015404,11,2,true,9,true
[consuming],31,226.1694419120824,11,1,false,10,false
[producing],32,226.70590840022297,12,2,false,10,false
[con_ready],33,227.67594613587858,12,2,true,10,true
[consuming],34,229.51799101688448,12,1,false,11,false
[con_ready],35,235.23310520898704,12,1,true,11,true
[consuming],36,235.6267020613206,12,0,false,12,false
[producing],37,243.56474007613863,13,1,false,12,false
[con_ready],38,246.7765531246315,13,1,true,12,true
[consuming],39,247.73868275566434,13,0,false,13,false
[producing],40,267.59532754010445,14,1,false,13,false
[con_ready],41,272.38601237439246,14,1,true,13,true
[consuming],42,272.5762409192859,14,0,false,14,false
[producing],43,291.3538070889853,15,1,false,14,false
[con_ready],44,311.5013160104741,15,1,true,14,true
[consuming],45,312.46998683073355,15,0,false,15,false
[producing],46,329.23676057877594,16,1,false,15,false
[producing],47,333.8116585643766,17,2,false,15,false
[con_ready],48,334.41921274672234,17,2,true,15,true
[consuming],49,335.1490420024069,17,1,false,16,false
[producing],50,339.47571421394196,18,2,false,16,false
[con_ready],51,339.92932841861085,18,2,true,16,true
[consuming],52,342.9302349179932,18,1,false,17,false
[producing],53,345.59005349614574,19,2,false,17,false
[producing],54,348.8746446182128,20,3,false,17,false
[con_ready],55,352.2018789375032,20,3,true,17,true
[consuming],56,352.9018355387937,20,2,false,18,false
[con_ready],57,358.8262079999431,20,2,true,18,true
[consuming],58,359.5042021416419,20,1,false,19,false
[con_ready],59,360.2472462735007,20,1,true,19,true
[consuming],60,361.03014937935933,20,0,false,20,false
