action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing2],1,3.148324400315527,0,1,1,false,false,0,false,0,false
[producing2],2,5.359144264857317,0,2,2,false,false,0,false,0,false
[con_ready2],3,28.66619897729309,0,2,2,false,true,0,false,0,true
[consuming2],4,29.247227811359988,0,2,1,false,false,0,false,1,false
[con_ready2],5,42.88960906488928,0,2,1,false,true,0,false,1,true
[consuming2],6,44.145374648261026,0,2,0,false,false,0,false,2,false
[producing2],7,63.08318367913763,0,3,1,false,false,0,false,2,false
[con_ready1],8,64.24861798634957,0,3,1,true,false,0,true,2,false
[consuming1],9,64.53033105714952,0,3,0,false,false,1,false,2,false
[producing],10,90.93964795247328,1,3,1,false,false,1,false,2,false
[con_ready2],11,96.81058854583188,1,3,1,false,true,1,false,2,true
[consuming2],12,99.40074382595945,1,3,0,false,false,1,false,3,false
[producing2],13,120.9688433170464,1,4,1,false,false,1,false,3,false
[con_ready2],14,125.51408958644916,1,4,1,false,true,1,false,3,true
[consuming2],15,125.89198753930415,1,4,0,false,false,1,false,4,false
[producing],16,127.61439620731913,2,4,1,false,false,1,false,4,false
[con_ready1],17,148.7789126766979,2,4,1,true,false,1,true,4,false
[consuming1],18,150.87948846678904,2,4,0,false,false,2,false,4,false
[producing2],19,166.97438901117243,2,5,1,false,false,2,false,4,false
[producing],20,174.293630920764,3,5,2,false,false,2,false,4,false
[producing2],21,180.92706229266443,3,6,3,false,false,2,false,4,false
[con_ready1],22,187.26134989066531,3,6,3,true,false,2,true,4,false
[consuming1],23,188.07241565656466,3,6,2,false,false,3,false,4,false
[producing],24,192.88320987738837,4,6,3,false,false,3,false,4,false
[con_ready2],25,193.47880472052944,4,6,3,false,true,3,false,4,true
[consuming2],26,193.6634380755542,4,6,2,false,false,3,false,5,false
[con_ready1],27,196.65135414057048,4,6,2,true,false,3,true,5,false
[consuming1],28,198.79112704856232,4,6,1,false,false,4,false,5,false
[producing2],29,200.97880034068078,4,7,2,false,false,4,false,5,false
[producing2],30,241.38426193225393,4,8,3,false,false,4,false,5,false
[producing2],31,245.47771107663536,4,9,4,false,false,4,false,5,false
[con_ready1],32,256.34910442004406,4,9,4,true,false,4,true,5,false
[consuming1],33,256.4578156598794,4,9,3,false,false,5,false,5,false
[con_ready1],34,268.5177795893764,4,9,3,true,false,5,true,5,false
[consuming1],35,269.03434524271904,4,9,2,false,false,6,false,5,false
[producing],36,270.2731963098049,5,9,3,false,false,6,false,5,false
[con_ready2],37,271.54367909167104,5,9,3,false,true,6,false,5,true
[consuming2],38,273.57274315692473,5,9,2,false,false,6,false,6,false
[con_ready1],39,279.80428463101595,5,9,2,true,false,6,true,6,false
[consuming1],40,280.41866771317075,5,9,1,false,false,7,false,6,false
[producing2],41,288.1685299012121,5,10,2,false,false,7,false,6,false
[con_ready2],42,289.587558086934,5,10,2,false,true,7,false,6,true
[consuming2],43,291.0607682491605,5,10,1,false,false,7,false,7,false
[con_ready1],44,295.062320569261,5,10,1,true,false,7,true,7,false
[consuming1],45,295.3006405505406,5,10,0,false,false,8,false,7,false
[producing2],46,295.33222046681567,5,11,1,false,false,8,false,7,false
[con_ready1],47,309.9485643200403,5,11,1,true,false,8,true,7,false
[consuming1],48,310.0440751801105,5,11,0,false,false,9,false,7,false
[producing],49,334.15075849182386,6,11,1,false,false,9,false,7,false
[producing2],50,347.8107996931107,6,12,2,false,false,9,false,7,false
[producing2],51,349.80968027075534,6,13,3,false,false,9,false,7,false
[con_ready1],52,357.6417483037825,6,13,3,true,false,9,true,7,false
