action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,19.82320042934108,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],2,20.063301274233858,1,0,1,2,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],3,24.185439014459043,1,0,1,2,false,false,true,0,false,0,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],4,26.329539666730266,1,0,1,1,false,false,false,0,false,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],5,32.07420817745004,1,0,1,1,false,false,false,0,false,0,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready1],6,34.86441766763492,1,0,1,2,false,false,false,0,true,0,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[producing3],7,38.33591897842129,1,0,2,2,true,false,false,0,true,0,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready11],8,40.32246024752845,1,0,2,2,true,false,false,0,true,0,false,1,false,1,1,true,false,false,0,true,0,false,0,false
[consuming1],9,40.60944183005679,1,0,2,1,false,false,false,1,false,0,false,1,false,1,1,true,false,false,0,true,0,false,0,false
[consuming11],10,41.355285503891054,1,0,2,1,false,false,false,1,false,0,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[con_ready1],11,41.529085808497754,1,0,2,2,false,false,false,1,true,0,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[producing2],12,53.577112836997415,1,1,2,3,false,false,false,1,true,0,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[con_ready2],13,74.18450832110327,1,1,2,3,false,true,false,1,true,0,true,1,false,1,0,false,false,false,1,false,0,false,0,false
[consuming2],14,74.48251712966919,1,1,2,2,false,false,false,1,true,1,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[producing3],15,88.03744543397143,1,1,3,2,true,false,false,1,true,1,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[consuming1],16,88.56611717488211,1,1,3,1,false,false,false,2,false,1,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[producing2],17,90.46365976535188,1,2,3,2,false,false,false,2,false,1,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[con_ready1],18,103.47644284162983,1,2,3,3,false,false,false,2,true,1,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[con_ready2],19,121.22447066955928,1,2,3,3,false,true,false,2,true,1,true,1,false,1,0,false,false,false,1,false,0,false,0,false
[consuming2],20,121.4270995858012,1,2,3,2,false,false,false,2,true,2,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[producing2],21,125.90181391949514,1,3,3,3,false,false,false,2,true,2,false,1,false,1,0,false,false,false,1,false,0,false,0,false
[con_ready3],22,129.02103283854166,1,3,3,3,false,false,true,2,true,2,false,1,true,1,0,false,false,false,1,false,0,false,0,false
[consuming3],23,129.35421607761702,1,3,3,2,false,false,false,2,true,2,false,2,false,1,0,false,false,false,1,false,0,false,0,false
[producing3],24,129.59368450256883,1,3,4,2,true,false,false,2,true,2,false,2,false,1,0,false,false,false,1,false,0,false,0,false
[consuming1],25,130.72692860176852,1,3,4,1,false,false,false,3,false,2,false,2,false,1,0,false,false,false,1,false,0,false,0,false
[producing3],26,134.07049954735464,1,3,5,1,true,false,false,3,false,2,false,2,false,1,0,false,false,false,1,false,0,false,0,false
[forwarding],27,164.48814680060585,1,3,5,1,true,false,false,3,false,2,false,2,false,2,1,false,false,false,1,false,0,false,0,false
[con_ready13],28,166.1492533747732,1,3,5,1,true,false,false,3,false,2,false,2,false,2,1,false,false,true,1,false,0,false,0,true
[consuming13],29,166.61015125264947,1,3,5,1,true,false,false,3,false,2,false,2,false,2,0,false,false,false,1,false,0,false,1,false
